"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"179","PT",0.888888888888889,0.944831159935696,0.296031746031746,0.653845534495796,"Público","Out 2018-2019"
"180","MDB",1,0.944831159935696,0.407142857142857,0.653845534495796,"Público","Out 2018-2019"
"181","PSL",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"182","PT",0.888888888888889,0.944831159935696,0.296031746031746,0.653845534495796,"Público","Out 2018-2019"
"183","PT",0.111111111111111,0.510937391056561,0.481746031746032,0.219951765616661,"Público","Out 2018-2019"
"184","PT",0.555555555555556,0.433893768879135,0.0373015873015873,0.142908143439235,"Público","Out 2018-2019"
"185","PT",0.555555555555556,0.400599710927954,0.0373015873015873,0.109614085488054,"Público","Out 2018-2019"
"186","PT",0.666666666666667,0.400599710927954,0.0738095238095238,0.109614085488054,"Público","Out 2018-2019"
"187","PT",0.666666666666667,0.889662319871393,0.0738095238095238,0.598676694431493,"Público","Out 2018-2019"
"188","PT",0.222222222222222,0.889662319871393,0.370634920634921,0.598676694431493,"Público","Out 2018-2019"
"189","PT",0.444444444444444,0.889662319871393,0.148412698412698,0.598676694431493,"Público","Out 2018-2019"
"190","PT",0.777777777777778,0.0551688400643034,0.184920634920635,0.235816785375597,"Público","Out 2018-2019"
"191","PT",0.777777777777778,0.889662319871393,0.184920634920635,0.598676694431493,"Público","Out 2018-2019"
"192","PT",1,0.779324639742786,0.407142857142857,0.488339014302886,"Público","Out 2018-2019"
"193","PT",0.111111111111111,0.83449347980709,0.481746031746032,0.54350785436719,"Público","Out 2018-2019"
"194","MDB",0.777777777777778,0.944831159935696,0.184920634920635,0.653845534495796,"Público","Out 2018-2019"
"195","MDB",0.444444444444444,0.779324639742786,0.148412698412698,0.488339014302886,"Público","Out 2018-2019"
"196","PT",0.666666666666667,0.220675360257214,0.0738095238095238,0.0703102651826862,"Público","Out 2018-2019"
"197","PT",1,0.566106231120865,0.407142857142857,0.275120605680965,"Público","Out 2018-2019"
"198","PT",1,0.889662319871393,0.407142857142857,0.598676694431493,"Público","Out 2018-2019"
"199","PT",0.444444444444444,1,0.148412698412698,0.7090143745601,"Público","Out 2018-2019"
"200","PT",0.444444444444444,0.510937391056561,0.148412698412698,0.219951765616661,"Público","Out 2018-2019"
"201","PT",0.444444444444444,0.510937391056561,0.148412698412698,0.219951765616661,"Público","Out 2018-2019"
"202","PT",1,0.455768550992258,0.407142857142857,0.164782925552358,"Público","Out 2018-2019"
"203","PT",0,0.345430870863651,0.592857142857143,0.0544452454237508,"Público","Out 2018-2019"
"204","PT",0,0.275844200321517,0.592857142857143,0.0151414251183827,"Público","Out 2018-2019"
"205","PT",0,0.889662319871393,0.592857142857143,0.598676694431493,"Público","Out 2018-2019"
"206","PT",0.888888888888889,0,0.296031746031746,0.2909856254399,"Público","Out 2018-2019"
"207","PT",0.444444444444444,0,0.148412698412698,0.2909856254399,"Público","Out 2018-2019"
"208","PT",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"209","PT",1,0.566106231120865,0.407142857142857,0.275120605680965,"Público","Out 2018-2019"
"210","PT",0.333333333333333,0.779324639742786,0.25952380952381,0.488339014302886,"Público","Out 2018-2019"
"211","PT",0,0.0551688400643034,0.592857142857143,0.235816785375597,"Público","Out 2018-2019"
"212","PT",0.777777777777778,0.0551688400643034,0.184920634920635,0.235816785375597,"Público","Out 2018-2019"
"213","PT",0.777777777777778,0.544231449007742,0.184920634920635,0.253245823567842,"Público","Out 2018-2019"
"214","PT",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"215","PT",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"216","PT",0,0.944831159935696,0.592857142857143,0.653845534495796,"Público","Out 2018-2019"
"217","PT",1,0.510937391056561,0.407142857142857,0.219951765616661,"Público","Out 2018-2019"
"218","PT",0.444444444444444,0.779324639742786,0.148412698412698,0.488339014302886,"Público","Out 2018-2019"
"219","PT",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"220","PT",1,1,0.407142857142857,0.7090143745601,"Público","Out 2018-2019"
"221","PSL",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"222","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"223","PT",0.888888888888889,0.510937391056561,0.296031746031746,0.219951765616661,"Público","Out 2018-2019"
"224","PT",0.555555555555556,0.400599710927954,0.0373015873015873,0.109614085488054,"Público","Out 2018-2019"
"225","PT",0.555555555555556,0.889662319871393,0.0373015873015873,0.598676694431493,"Público","Out 2018-2019"
"226","PT",0.777777777777778,0.944831159935696,0.184920634920635,0.653845534495796,"Público","Out 2018-2019"
"227","PSL",0,0.779324639742786,0.592857142857143,0.488339014302886,"Público","Out 2018-2019"
"228","PSL",0.777777777777778,1,0.184920634920635,0.7090143745601,"Público","Out 2018-2019"
"229","PT",0.333333333333333,0.83449347980709,0.25952380952381,0.54350785436719,"Público","Out 2018-2019"
"230","PT",0.111111111111111,0.566106231120865,0.481746031746032,0.275120605680965,"Público","Out 2018-2019"
"231","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"232","PT",1,0.724155799678483,0.407142857142857,0.433170174238583,"Público","Out 2018-2019"
"233","PT",0,0.433893768879135,0.592857142857143,0.142908143439235,"Público","Out 2018-2019"
"234","PT",1,0.599400289072046,0.407142857142857,0.308414663632146,"Público","Out 2018-2019"
"235","PT",1,0.889662319871393,0.407142857142857,0.598676694431493,"Público","Out 2018-2019"
"236","PT",0,0.400599710927954,0.592857142857143,0.109614085488054,"Público","Out 2018-2019"
"237","PT",0,0.400599710927954,0.592857142857143,0.109614085488054,"Público","Out 2018-2019"
"238","PT",0,0.566106231120865,0.592857142857143,0.275120605680965,"Público","Out 2018-2019"
"239","PT",1,1,0.407142857142857,0.7090143745601,"Público","Out 2018-2019"
"240","PT",1,0.724155799678483,0.407142857142857,0.433170174238583,"Público","Out 2018-2019"
"241","PT",1,0.83449347980709,0.407142857142857,0.54350785436719,"Público","Out 2018-2019"
"242","PT",1,0.510937391056561,0.407142857142857,0.219951765616661,"Público","Out 2018-2019"
"243","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
