"","partido","microGap","Dimensão","Período"
"321","PSDB",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"322","PT",0.149436004088788,"Liberal / Fundamentalismo adaptado","2017-2018"
"323","PSDB",0.322867691442071,"Liberal / Fundamentalismo adaptado","2017-2018"
"324","PT",0.0805446543996557,"Liberal / Fundamentalismo adaptado","2017-2018"
"325","PT",0.0726534975142212,"Liberal / Fundamentalismo adaptado","2017-2018"
"326","PMDB",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"327","PSOL",0.202242143889159,"Liberal / Fundamentalismo adaptado","2017-2018"
"328","PT",0.278036482584373,"Liberal / Fundamentalismo adaptado","2017-2018"
"329","PSDB",0.355110631937228,"Liberal / Fundamentalismo adaptado","2017-2018"
"330","PT",0.370373491610326,"Liberal / Fundamentalismo adaptado","2017-2018"
"331","PT",0.125448999900122,"Liberal / Fundamentalismo adaptado","2017-2018"
"332","PT",0.435390401123511,"Liberal / Fundamentalismo adaptado","2017-2018"
"333","PSDB",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"334","PT",0.569321695883471,"Liberal / Fundamentalismo adaptado","2017-2018"
"335","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"336","PT",0.405270069672596,"Liberal / Fundamentalismo adaptado","2017-2018"
"337","PT",0.293515261006287,"Liberal / Fundamentalismo adaptado","2017-2018"
"338","PT",0.615110274902766,"Liberal / Fundamentalismo adaptado","2017-2018"
"339","PT",0.489041926697188,"Liberal / Fundamentalismo adaptado","2017-2018"
"340","PT",0.173129604770463,"Liberal / Fundamentalismo adaptado","2017-2018"
"341","PT",0.262773622911275,"Liberal / Fundamentalismo adaptado","2017-2018"
